Tên công việc,Địa điểm,Ngày cập nhật,Ngành nghề,Hình thức,Lương,Kinh nghiệm,Cấp bậc,Hết hạn nộp,Tên công ty,Địa chỉ công ty,Người liên hệ,Loại hình hoạt động,Qui mô công ty
IT Infrastructure Specialist,['Bình Dương'],16/11/2024,"CNTT - Phần mềm , CNTT - Phần cứng / Mạng",Nhân viên chính thức,Cạnh tranh,3 - 4 Năm,Trưởng nhóm / Giám sát,15/12/2024,,,,,
[Hotpot Story Aeon Mall Bình Dương] - Tuyển Gấp Bếp Chính Nhà Hàng,['Bình Dương'],13/11/2024,Nhà hàng / Khách sạn,Nhân viên chính thức,"7,5 Tr - 8,5 Tr VND",1 - 2 Năm,Nhân viên,12/12/2024,,,,,
Thiết kế nội thất hàng dự án (Interior Designer - Project),['Bình Dương'],13/11/2024,"Mỹ thuật / Nghệ thuật / Thiết kế , Đồ gỗ , Nội ngoại thất",Nhân viên chính thức,15 Tr - 35 Tr VND,1 - 5 Năm,Nhân viên,12/12/2024,CÔNG TY TNHH INTERWOOD VIỆT NAM,"Uyên Hưng, Tân Uyên, Bình Dương",Ms. Uyên,Trách nhiệm hữu hạn,1.000-4.999
Nhân Viên Kỹ Thuật Điện Nước,['Hà Nội'],12/11/2024,"Bảo trì / Sửa chữa , Điện / Điện tử / Điện lạnh",Nhân viên chính thức,9 Tr - 11 Tr VND,Trên 1 Năm,Nhân viên,11/12/2024,CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI QUỐC TẾ MẶT TRỜI ĐỎ,"Tầng 25 tòa nhà Handico, Số 3 Mễ Trì Hạ, Nam Từ Liêm, Hà Nội",Phòng nhân sự,Cổ phần,
"Sofware Engineer (Microsoft Power Apps, Dynamics AX, SQL Server)",['Bình Dương'],11/11/2024,CNTT - Phần mềm,Nhân viên chính thức,Cạnh tranh,Lên đến 1 Năm,Nhân viên,10/12/2024,,,,,
Accountant Staff (Junior),['Hải Phòng'],10/11/2024,"Vận chuyển / Giao nhận / Kho vận , Xuất nhập khẩu , Hàng hải",Nhân viên chính thức,Cạnh tranh,,Nhân viên,09/12/2024,CÔNG TY TNHH MAXPEED VIỆT NAM,"Tầng 5 tòa N01-T2, Ngoại Giao Đoàn, đường Hoàng Minh Thảo, Phường Xuân Tảo, Quận Bắc Từ Liêm",Ms Hằng,Trách nhiệm hữu hạn,25-99
Giám Đốc Chi Nhánh (Ocean Edu Thủy Nguyên),['Hải Phòng'],09/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Giáo dục / Đào tạo",Nhân viên chính thức,24 Tr - 26 Tr VND,3 - 5 Năm,Giám đốc,31/12/2024,CÔNG TY CP GIÁO DỤC ĐẠI DƯƠNG,"204 Nguyễn Lương Bằng, Đống Đa, Hà Nội",Phòng Nhân sự,Cổ phần,
Giám Đốc Chi Nhánh (Ocean Edu Uông Bí),['Quảng Ninh'],09/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Giáo dục / Đào tạo",Nhân viên chính thức,24 Tr - 26 Tr VND,3 - 5 Năm,Giám đốc,02/01/2025,CÔNG TY CP GIÁO DỤC ĐẠI DƯƠNG,"204 Nguyễn Lương Bằng, Đống Đa, Hà Nội",Phòng Nhân sự,Cổ phần,
Giám Đốc Chi Nhánh (Ocean Edu Hà Giang,['Hà Giang'],09/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Giáo dục / Đào tạo",Nhân viên chính thức,24 Tr - 26 Tr VND,3 - 5 Năm,Giám đốc,31/12/2024,CÔNG TY CP GIÁO DỤC ĐẠI DƯƠNG,"204 Nguyễn Lương Bằng, Đống Đa, Hà Nội",Phòng Nhân sự,Cổ phần,
Giám Đốc Chi Nhánh (Ocean Edu Phú Thọ),['Phú Thọ'],09/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Giáo dục / Đào tạo",Nhân viên chính thức,24 Tr - 26 Tr VND,3 - 5 Năm,Giám đốc,31/12/2024,CÔNG TY CP GIÁO DỤC ĐẠI DƯƠNG,"204 Nguyễn Lương Bằng, Đống Đa, Hà Nội",Phòng Nhân sự,Cổ phần,
Trưởng Phòng Thiết Kế Nội Dung & Giải Pháp Đào Tạo,['Hà Nội'],09/12/2024,"Giáo dục / Đào tạo , Nhân sự",Nhân viên chính thức,Cạnh tranh,2 - 4 Năm,Quản lý,07/01/2025,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,Cổ phần,5.000-9.999
Chuyên viên chính/Chuyên viên cao cấp Thẩm định tài sản,"['Bình Phước', 'Bình Dương', 'Tây Ninh']",09/12/2024,"Bất động sản , Bán lẻ / Bán sỉ , Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Nhân viên,07/01/2025,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,Cổ phần,5.000-9.999
Chuyên viên chính/Chuyên viên cao cấp Thẩm định tài sản,"['Đà Nẵng', 'Lâm Đồng', 'Bình Thuận']",09/12/2024,"Bất động sản , Bán lẻ / Bán sỉ , Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Nhân viên,07/01/2025,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,Cổ phần,5.000-9.999
Chuyên viên chính/Chuyên viên cao cấp Thẩm định tài sản,"['Đồng Nai', 'Bà Rịa - Vũng Tàu', 'Thừa Thiên- Huế']",09/12/2024,"Bất động sản , Bán lẻ / Bán sỉ , Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Nhân viên,07/01/2025,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,Cổ phần,5.000-9.999
Chuyên viên chính QLRR hoạt động (IT Risk),['Hà Nội'],09/12/2024,Ngân hàng,Nhân viên chính thức,Cạnh tranh,Trên 3 Năm,Nhân viên,07/01/2025,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,Cổ phần,5.000-9.999
Phó Giám đốc Chi nhánh PT Khách hàng cá nhân,"['Bắc Ninh', 'Hà Nam', 'Quảng Ngãi']",09/12/2024,"Ngân hàng , Quản lý điều hành , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,Trên 6 Năm,Phó Giám đốc,07/01/2025,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,Cổ phần,5.000-9.999
Chuyên viên Mô hình Quản trị Rủi ro Tín dụng,['Hà Nội'],09/12/2024,"Ngân hàng , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Nhân viên,07/01/2025,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,Cổ phần,5.000-9.999
Chuyên viên Quản trị Vận hành Cơ sở dữ liệu,['Hà Nội'],09/12/2024,"CNTT - Phần mềm , CNTT - Phần cứng / Mạng , Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên 1 Năm,Nhân viên,07/01/2025,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,Cổ phần,5.000-9.999
Trưởng phòng Dịch vụ Khách hàng,['Bình Thuận'],09/12/2024,"Ngân hàng , Quản lý điều hành",Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Quản lý,07/01/2025,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,Cổ phần,5.000-9.999
Chuyên viên cao cấp Mô hình rủi ro,['Hà Nội'],09/12/2024,"CNTT - Phần mềm , Kế toán / Kiểm toán , Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên 3 Năm,Nhân viên,07/01/2025,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,Cổ phần,5.000-9.999
Phó Giám đốc Chi nhánh PT Khách hàng cá nhân,"['Thanh Hóa', 'Vĩnh Long']",09/12/2024,"Ngân hàng , Quản lý điều hành , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,Trên 6 Năm,Phó Giám đốc,07/01/2025,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,Cổ phần,5.000-9.999
Chuyên viên Quản trị Vận hành Ứng dụng Core,['Hà Nội'],09/12/2024,"CNTT - Phần mềm , CNTT - Phần cứng / Mạng",Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Nhân viên,07/01/2025,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,Cổ phần,5.000-9.999
Giám đốc Trung tâm Phân khúc Khách hàng (Mảng KHCN),['Hà Nội'],09/12/2024,"Bán lẻ / Bán sỉ , Dịch vụ khách hàng , Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên 9 Năm,Giám đốc,07/01/2025,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,Cổ phần,5.000-9.999
Chuyên viên Quan hệ Khách hàng Cá nhân (Toàn quốc),"['Tiền Giang', 'Vĩnh Long']",09/12/2024,"Bán hàng / Kinh doanh , Ngân hàng",Nhân viên chính thức,Cạnh tranh,,Nhân viên,07/01/2025,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,Cổ phần,5.000-9.999
Chuyên viên Quan hệ Khách hàng Cá nhân (Toàn quốc),"['Quảng Ngãi', 'Bình Phước']",09/12/2024,"Bán hàng / Kinh doanh , Ngân hàng",Nhân viên chính thức,Cạnh tranh,,Nhân viên,07/01/2025,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,Cổ phần,5.000-9.999
Trưởng Phòng Khách hàng Cá nhân,['Tiền Giang'],09/12/2024,"Ngân hàng , Quản lý điều hành , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,Trên 3 Năm,Quản lý,07/01/2025,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,Cổ phần,5.000-9.999
Chuyên viên cao cấp Thúc đẩy Kinh doanh KHDN lớn,['Hà Nội'],09/12/2024,Ngân hàng,Nhân viên chính thức,Cạnh tranh,Trên 1 Năm,Nhân viên,07/01/2025,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,Cổ phần,5.000-9.999
Chuyên viên Quan hệ Khách hàng Cá nhân (Toàn quốc),['Thanh Hóa'],09/12/2024,"Bán hàng / Kinh doanh , Ngân hàng",Nhân viên chính thức,Cạnh tranh,,Nhân viên,07/01/2025,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,Cổ phần,5.000-9.999
Chuyên viên Quản trị Vận hành Ứng dụng ngoài Core,['Hà Nội'],09/12/2024,"CNTT - Phần mềm , CNTT - Phần cứng / Mạng , Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Nhân viên,07/01/2025,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,Cổ phần,5.000-9.999
CVCC Chính sách sản phẩm KHDN (Dự án Corebanking),['Hà Nội'],09/12/2024,"Kế toán / Kiểm toán , Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên 4 Năm,Nhân viên,07/01/2025,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,Cổ phần,5.000-9.999
Chuyên viên Chính sách Kế toán – Thuế (Dự án Core),['Hà Nội'],09/12/2024,"Kế toán / Kiểm toán , Ngân hàng , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,Trên 6 Năm,Nhân viên,07/01/2025,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,Cổ phần,5.000-9.999
Chuyên viên Quan hệ Khách hàng Cá nhân (Toàn quốc),"['Hưng Yên', 'Vĩnh Phúc', 'Quảng Ninh']",09/12/2024,"Bán hàng / Kinh doanh , Ngân hàng",Nhân viên chính thức,Cạnh tranh,,Nhân viên,07/01/2025,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,Cổ phần,5.000-9.999
Chuyên gia/ Chuyên viên cao cấp Phát triển Nội dung Đào tạo,['Hà Nội'],09/12/2024,"Giáo dục / Đào tạo , Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên 4 Năm,Nhân viên,07/01/2025,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,Cổ phần,5.000-9.999
Kiểm soát viên Dịch vụ Khách hàng,['Cần Thơ'],09/12/2024,"Kế toán / Kiểm toán , Ngân hàng , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Trưởng nhóm / Giám sát,07/01/2025,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,Cổ phần,5.000-9.999
Phó Giám đốc Trung tâm Phát triển kinh doanh KHCN,['Hà Nội'],09/12/2024,"Bán lẻ / Bán sỉ , Dịch vụ khách hàng , Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên 8 Năm,Giám đốc,07/01/2025,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,Cổ phần,5.000-9.999
Trưởng phòng Khách hàng Doanh nghiệp,"['Đồng Tháp', 'Đà Nẵng']",09/12/2024,"Ngân hàng , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,Trên 3 Năm,Quản lý,07/01/2025,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,Cổ phần,5.000-9.999
Giao dịch viên,['Ninh Bình'],09/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Ngân hàng",Nhân viên chính thức,Cạnh tranh,Chưa có kinh nghiệm,Nhân viên,07/01/2025,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,Cổ phần,5.000-9.999
Trưởng phòng Thẩm định,"['Đồng Nai', 'Sóc Trăng']",09/12/2024,"Ngân hàng , Quản lý điều hành , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,Trên 7 Năm,Quản lý,07/01/2025,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,Cổ phần,5.000-9.999
Chuyên viên Quan hệ Khách hàng Doanh nghiệp,['Hà Nam'],09/12/2024,"Bán hàng / Kinh doanh , Ngân hàng",Nhân viên chính thức,Cạnh tranh,Chưa có kinh nghiệm,Nhân viên,07/01/2025,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,Cổ phần,5.000-9.999
Giám Đốc Chi Nhánh,"['Bắc Cạn', 'Bắc Giang', 'Vĩnh Phúc']",07/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Giáo dục / Đào tạo",Nhân viên chính thức,24 Tr - 26 Tr VND,3 - 5 Năm,Giám đốc,31/12/2024,CÔNG TY CP GIÁO DỤC ĐẠI DƯƠNG,"204 Nguyễn Lương Bằng, Đống Đa, Hà Nội",Phòng Nhân sự,Cổ phần,
Chuyên viên cao cấp Rủi ro tích hợp,['Hà Nội'],06/12/2024,Ngân hàng,Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Nhân viên,04/01/2025,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,Cổ phần,5.000-9.999
Trưởng phòng Rủi ro tích hợp,['Hà Nội'],06/12/2024,Ngân hàng,Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Trưởng nhóm / Giám sát,04/01/2025,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,Cổ phần,5.000-9.999
Giám đốc Trung tâm Đào tạo,['Hà Nội'],06/12/2024,"Giáo dục / Đào tạo , Nhân sự , Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên 8 Năm,Giám đốc,04/01/2025,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,Cổ phần,5.000-9.999
[Ocean Edu Hội Sở] Nhân Viên Kỹ Thuật Vật Tư,['Hà Nội'],06/12/2024,"Bảo trì / Sửa chữa , Lao động phổ thông",Nhân viên chính thức,9 Tr - 13 Tr VND,,Nhân viên,01/01/2025,CÔNG TY CP GIÁO DỤC ĐẠI DƯƠNG,"204 Nguyễn Lương Bằng, Đống Đa, Hà Nội",Phòng Nhân sự,Cổ phần,
Chuyên viên chính Quản lý và Thiết kế quy trình vận hành,['Hà Nội'],06/12/2024,"Ngân hàng , Quản lý chất lượng (QA/QC)",Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Nhân viên,04/01/2025,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,Cổ phần,5.000-9.999
Chuyên viên cao cấp Phân tích báo cáo,['Hà Nội'],05/12/2024,Ngân hàng,Nhân viên chính thức,Cạnh tranh,Trên 4 Năm,Nhân viên,03/01/2025,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,Cổ phần,5.000-9.999
Chuyên viên cao cấp Quản trị dữ liệu và hệ thống,['Hà Nội'],05/12/2024,Ngân hàng,Nhân viên chính thức,Cạnh tranh,Trên 4 Năm,Nhân viên,03/01/2025,NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,Cổ phần,5.000-9.999
Chuyên Viên Tuyển Sinh (Ocean Edu Yên Mỹ),['Hưng Yên'],05/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Tư vấn",Nhân viên chính thức,14 Tr - 15 Tr VND,Lên đến 1 Năm,Nhân viên,31/12/2024,CÔNG TY CP GIÁO DỤC ĐẠI DƯƠNG,"204 Nguyễn Lương Bằng, Đống Đa, Hà Nội",Phòng Nhân sự,Cổ phần,
Chuyên Viên Tuyển Sinh (Ocean Edu Quảng Yên),['Quảng Ninh'],05/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Tư vấn",Nhân viên chính thức,14 Tr - 15 Tr VND,Lên đến 1 Năm,Nhân viên,31/12/2024,CÔNG TY CP GIÁO DỤC ĐẠI DƯƠNG,"204 Nguyễn Lương Bằng, Đống Đa, Hà Nội",Phòng Nhân sự,Cổ phần,
Chuyên Viên Tuyển Sinh (Ocean Edu Kỳ Anh),['Hà Tĩnh'],05/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Tư vấn",Nhân viên chính thức,14 Tr - 15 Tr VND,Lên đến 1 Năm,Nhân viên,31/12/2024,CÔNG TY CP GIÁO DỤC ĐẠI DƯƠNG,"204 Nguyễn Lương Bằng, Đống Đa, Hà Nội",Phòng Nhân sự,Cổ phần,
Chuyên Viên Tuyển Sinh (Ocean Edu Yên Bái),['Yên Bái'],05/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Tư vấn",Nhân viên chính thức,14 Tr - 15 Tr VND,Lên đến 1 Năm,Nhân viên,31/12/2024,CÔNG TY CP GIÁO DỤC ĐẠI DƯƠNG,"204 Nguyễn Lương Bằng, Đống Đa, Hà Nội",Phòng Nhân sự,Cổ phần,
Chuyên Viên Tuyển Sinh (Ocean Edu Lý Nhân),['Hà Nam'],05/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Tư vấn",Nhân viên chính thức,14 Tr - 15 Tr VND,Lên đến 1 Năm,Nhân viên,31/12/2024,CÔNG TY CP GIÁO DỤC ĐẠI DƯƠNG,"204 Nguyễn Lương Bằng, Đống Đa, Hà Nội",Phòng Nhân sự,Cổ phần,
Chuyên Viên Tuyển Sinh (Ocean Edu Lào Cai),['Lào Cai'],05/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Tư vấn",Nhân viên chính thức,14 Tr - 15 Tr VND,Lên đến 1 Năm,Nhân viên,31/12/2024,CÔNG TY CP GIÁO DỤC ĐẠI DƯƠNG,"204 Nguyễn Lương Bằng, Đống Đa, Hà Nội",Phòng Nhân sự,Cổ phần,
Chuyên Viên Tuyển Sinh (Ocean Edu Hà Tĩnh 2),['Hà Tĩnh'],05/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Tư vấn",Nhân viên chính thức,14 Tr - 15 Tr VND,Lên đến 1 Năm,Nhân viên,31/12/2024,CÔNG TY CP GIÁO DỤC ĐẠI DƯƠNG,"204 Nguyễn Lương Bằng, Đống Đa, Hà Nội",Phòng Nhân sự,Cổ phần,
Chủ nhiệm lớp Anh ngữ (Ocean Edu Đông Hà),['Quảng Trị'],05/12/2024,"Bán hàng / Kinh doanh , Biên phiên dịch , Giáo dục / Đào tạo",Nhân viên chính thức,13 Tr - 14 Tr VND,1 - 2 Năm,Nhân viên,31/12/2024,CÔNG TY CP GIÁO DỤC ĐẠI DƯƠNG,"204 Nguyễn Lương Bằng, Đống Đa, Hà Nội",Phòng Nhân sự,Cổ phần,
Chủ nhiệm lớp Anh ngữ (Ocean Edu Hải Hậu),['Nam Định'],05/12/2024,"Bán hàng / Kinh doanh , Biên phiên dịch , Giáo dục / Đào tạo",Nhân viên chính thức,13 Tr - 14 Tr VND,1 - 2 Năm,Nhân viên,31/12/2024,CÔNG TY CP GIÁO DỤC ĐẠI DƯƠNG,"204 Nguyễn Lương Bằng, Đống Đa, Hà Nội",Phòng Nhân sự,Cổ phần,
Chủ nhiệm lớp Anh ngữ (Ocean Edu Nam Định 2),['Nam Định'],05/12/2024,"Bán hàng / Kinh doanh , Biên phiên dịch , Giáo dục / Đào tạo",Nhân viên chính thức,13 Tr - 14 Tr VND,1 - 2 Năm,Nhân viên,31/12/2024,CÔNG TY CP GIÁO DỤC ĐẠI DƯƠNG,"204 Nguyễn Lương Bằng, Đống Đa, Hà Nội",Phòng Nhân sự,Cổ phần,
Chủ nhiệm lớp Anh ngữ (Ocean Edu Nam Định),['Nam Định'],05/12/2024,"Bán hàng / Kinh doanh , Biên phiên dịch , Giáo dục / Đào tạo",Nhân viên chính thức,13 Tr - 14 Tr VND,1 - 2 Năm,Nhân viên,31/12/2024,CÔNG TY CP GIÁO DỤC ĐẠI DƯƠNG,"204 Nguyễn Lương Bằng, Đống Đa, Hà Nội",Phòng Nhân sự,Cổ phần,
Chủ nhiệm lớp Anh ngữ (Ocean Edu Xuân Trường),['Nam Định'],05/12/2024,"Bán hàng / Kinh doanh , Biên phiên dịch , Giáo dục / Đào tạo",Nhân viên chính thức,13 Tr - 14 Tr VND,1 - 2 Năm,Nhân viên,31/12/2024,CÔNG TY CP GIÁO DỤC ĐẠI DƯƠNG,"204 Nguyễn Lương Bằng, Đống Đa, Hà Nội",Phòng Nhân sự,Cổ phần,
Chủ nhiệm lớp Anh ngữ (Ocean Edu Giao Thủy),['Nam Định'],05/12/2024,"Bán hàng / Kinh doanh , Biên phiên dịch , Giáo dục / Đào tạo",Nhân viên chính thức,13 Tr - 14 Tr VND,1 - 2 Năm,Nhân viên,31/12/2024,CÔNG TY CP GIÁO DỤC ĐẠI DƯƠNG,"204 Nguyễn Lương Bằng, Đống Đa, Hà Nội",Phòng Nhân sự,Cổ phần,
Chủ nhiệm lớp Anh ngữ (Ocean Edu Kiến Xương),['Thái Bình'],05/12/2024,"Bán hàng / Kinh doanh , Biên phiên dịch , Giáo dục / Đào tạo",Nhân viên chính thức,13 Tr - 14 Tr VND,1 - 2 Năm,Nhân viên,31/12/2024,CÔNG TY CP GIÁO DỤC ĐẠI DƯƠNG,"204 Nguyễn Lương Bằng, Đống Đa, Hà Nội",Phòng Nhân sự,Cổ phần,
Chủ nhiệm lớp Anh ngữ (Ocean Edu Thái Thụy),['Thái Bình'],05/12/2024,"Bán hàng / Kinh doanh , Biên phiên dịch , Giáo dục / Đào tạo",Nhân viên chính thức,13 Tr - 14 Tr VND,1 - 2 Năm,Nhân viên,31/12/2024,CÔNG TY CP GIÁO DỤC ĐẠI DƯƠNG,"204 Nguyễn Lương Bằng, Đống Đa, Hà Nội",Phòng Nhân sự,Cổ phần,
Chủ nhiệm lớp Anh ngữ (Ocean Edu Vĩnh Lộc),['Thanh Hóa'],05/12/2024,"Bán hàng / Kinh doanh , Biên phiên dịch , Giáo dục / Đào tạo",Nhân viên chính thức,13 Tr - 14 Tr VND,1 - 2 Năm,Nhân viên,31/12/2024,CÔNG TY CP GIÁO DỤC ĐẠI DƯƠNG,"204 Nguyễn Lương Bằng, Đống Đa, Hà Nội",Phòng Nhân sự,Cổ phần,
