Tên công việc,Địa điểm,Tên công ty,Địa chỉ công ty,Người liên hệ,Qui mô công ty,Loại hình hoạt động,Ngày cập nhật,Ngành nghề,Hình thức,Lương,Kinh nghiệm,Cấp bậc,Hết hạn nộp
"HO - Chuyên viên kiểm tra, Phòng tác nghiệp thị trường đầu tư",['Hồ Chí Minh'],NGÂN HÀNG TMCP PHƯƠNG ĐÔNG - OCB,"Tòa nhà The Hallmark, số 15 Trần Bạch Đằng, phường Thủ Thiêm, thành phố Thủ Đức, thành phố Hồ Chí Minh",Ngân hàng Phương Đông,5.000-9.999,Cổ phần,05/12/2024,"Ngân hàng , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Nhân viên,31/01/2025
Field Engineering Junior Executive (Automobile),"['Hà Nội', 'Bắc Ninh', 'Hồ Chí Minh']",HEADHUNTER HRCHANNELS GROUP,"Tòa MD Complex, Hàm Nghi, Hà Nội, Việt Nam.",Ms Hương,25-99,Cổ phần,12/11/2024,"Tư vấn , Cơ khí / Ô tô / Tự động hóa , Truyền hình / Báo chí / Biên tập",Nhân viên chính thức,12 Tr - 16 Tr VND,Trên 1 Năm,Nhân viên,11/12/2024
"[Quận Tân Bình, HCM] Trưởng Nhóm Dự Án IT (Tiếng Nhật) (35Tr-52Tr) (24996)",['Hồ Chí Minh'],CÔNG TY TNHH REERACOEN VIỆT NAM,"Cao ốc Zen Plaza, số 54-56 Nguyễn Trãi, phường Bến Thành, Quận 1",Yến,,Trách nhiệm hữu hạn,11/11/2024,"Điện / Điện tử / Điện lạnh , CNTT - Phần mềm , CNTT - Phần cứng / Mạng",Nhân viên chính thức,35 Tr - 52 Tr VND,2 - 5 Năm,Trưởng nhóm / Giám sát,10/12/2024
Senior Relationship Manager - Ha Noi/ HCM - TA154,"['Hà Nội', 'Hồ Chí Minh']",NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG - VPBANK,"89 Láng Hạ, Quận Đống Đa, Hà Nội",Khối Quản trị Nguồn nhân lực,10.000-19.999,Cổ phần,07/11/2024,"Bán hàng / Kinh doanh , Ngân hàng , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,Trên 5 Năm,Giám đốc,06/12/2024
Giám Đốc Cao Cấp Quan Hệ Khách Hàng (SRM) - Trung tâm FDI - Business Growth Department - TA154,"['Hà Nội', 'Hồ Chí Minh']",NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG - VPBANK,"89 Láng Hạ, Quận Đống Đa, Hà Nội",Khối Quản trị Nguồn nhân lực,10.000-19.999,Cổ phần,09/11/2024,"Bán hàng / Kinh doanh , Ngân hàng , Dịch vụ khách hàng",Nhân viên chính thức,Cạnh tranh,Trên 5 Năm,Nhân viên,08/12/2024
Nhân viên phát triển mẫu,['Hồ Chí Minh'],CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ IN BAO BÌ CUỘC SỐNG MỚI,"68 Trần Văn Chẩm, Xã Phước Vĩnh An, Huyện Củ Chi, Thành phố Hồ Chí Minh, Việt Nam",Mr/Ms Giang,100-499,Trách nhiệm hữu hạn,30/11/2024,"Mỹ thuật / Nghệ thuật / Thiết kế , In ấn / Xuất bản",Nhân viên chính thức,8 Tr - 15 Tr VND,Trên 1 Năm,Nhân viên,29/12/2024
Marketing Assistant (Tiếng Nhật N2),['Hồ Chí Minh'],CÔNG TY TNHH QUICK VIỆT NAM,"Unit C1,4F IBC Building, 1A Cong Truong Me Linh street, Ben Nghe Ward, District 1",Ngọc Quỳnh,Ít hơn 10,,02/12/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Biên phiên dịch",Nhân viên chính thức,15 Tr - 20 Tr VND,1 - 2 Năm,Nhân viên,31/12/2024
TỔ TRƯỞNG HIỆU CHUẨN CƠ KHÍ CHÍNH XÁC-NHÀ MÁY 2,['Hồ Chí Minh'],CÔNG TY TRÁCH NHIỆM HỮU HẠN SÀI GÒN PRECISION,"Road 2, Saigon-LinhTrung E.P.Z, Thu Duc City, Ho Chi Minh City",Ms. Bội Ngọc,,Trách nhiệm hữu hạn,25/11/2024,"Cơ khí / Ô tô / Tự động hóa , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,Cạnh tranh,2 - 5 Năm,Quản lý,24/12/2024
CHUYÊN VIÊN TƯ VẤN BẤT ĐỘNG SẢN - STAREAL,['Hồ Chí Minh'],CÔNG TY CỔ PHẦN ĐẦU TƯ TẬP ĐOÀN KLC,"105 - 107 đường Nguyễn Công Trứ, phường Nguyễn Thái Bình, quận 1, Tp Hồ Chí Minh",Phòng Nhân Sự,,Cổ phần,06/12/2024,"Bán hàng / Kinh doanh , Bất động sản , Tiếp thị / Marketing",Nhân viên chính thức,Cạnh tranh,Lên đến 1 Năm,Nhân viên,04/01/2025
112818 - Business Development Manager - Rice Inspecting/ Testing,['Hồ Chí Minh'],"RGF HR AGENT VIETNAM CO., LTD","Centec Tower, 72-74 Nguyen Thi Minh Khai, Ward 6, Dist. 3, HCMC, Vietnam",HR Dept,,Trách nhiệm hữu hạn,26/11/2024,"Tư vấn , Kế toán / Kiểm toán , Dịch vụ khách hàng",Nhân viên chính thức,"25 Tr - 37,5 Tr VND",Trên 3 Năm,Nhân viên,08/11/2024
113132 - Accounting & Tax Manager - Trưởng Phòng Tư vấn Kế toán/ Thuế - Consulting,['Hồ Chí Minh'],"RGF HR AGENT VIETNAM CO., LTD","Centec Tower, 72-74 Nguyen Thi Minh Khai, Ward 6, Dist. 3, HCMC, Vietnam",HR Dept,,Trách nhiệm hữu hạn,05/12/2024,Tư vấn,Nhân viên chính thức,25 Tr - 30 Tr VND,4 - 5 Năm,Quản lý,08/12/2024
TRƯỞNG ĐƠN VỊ CHUYÊN DOANH NGÀNH NHÃN HÀNG & BAO BÌ (CÔNG NGHỆ IN FLEXO) - LƯƠNG + HOA HỒNG CAO,['Hồ Chí Minh'],CÔNG TY TNHH TM DV KT TOÀN ẤN,"52/11 Vĩnh Phú 10, Vĩnh Phú, Thuận An, Bình Dương",PHẠM THỊ THANH TRÚC,25-99,Trách nhiệm hữu hạn,03/12/2024,"Bán hàng / Kinh doanh , Cơ khí / Ô tô / Tự động hóa , In ấn / Xuất bản",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Trưởng nhóm / Giám sát,12/11/2024
Nhân viên Bếp Lạnh,['Hồ Chí Minh'],CÔNG TY CỔ PHẦN QUỐC TẾ HOMEFARM,"Tầng 8, tòa VTC Online, số 18 Tam Trinh, Minh Khai, Hai Bà Trưng, Hà Nội",Phòng nhân sự,1000,Cổ phần,02/12/2024,"Bán lẻ / Bán sỉ , Dịch vụ khách hàng , Quản lý điều hành",Nhân viên chính thức,7 Tr - 10 Tr VND,1 - 2 Năm,Nhân viên,31/12/2024
Nhân viên Sales Logistics - XNK (Ưu tiên UV biết tiếng Trung),['Hồ Chí Minh'],,,,,,03/12/2024,"Bán hàng / Kinh doanh , Xuất nhập khẩu",Nhân viên chính thức,8 Tr - 15 Tr VND,1 - 3 Năm,Nhân viên,19/12/2024
113289 - Local Business Field Manager - Testing/ Inspection Service,['Hồ Chí Minh'],"RGF HR AGENT VIETNAM CO., LTD","Centec Tower, 72-74 Nguyen Thi Minh Khai, Ward 6, Dist. 3, HCMC, Vietnam",HR Dept,,Trách nhiệm hữu hạn,03/12/2024,Kế toán / Kiểm toán,Nhân viên chính thức,Cạnh tranh,5 - 10 Năm,Quản lý,08/12/2024
"[Dist 1, HCM] Sales Horeca (10M-15M) (20006)",['Hồ Chí Minh'],CÔNG TY TNHH REERACOEN VIỆT NAM,"Cao ốc Zen Plaza, số 54-56 Nguyễn Trãi, phường Bến Thành, Quận 1",Yến,,Trách nhiệm hữu hạn,05/12/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Thực phẩm & Đồ uống",Nhân viên chính thức,10 Tr - 15 Tr VND,2 - 5 Năm,Nhân viên,14/12/2024
Kỹ sư Shop Cấp thoát nước/HVAC/Điện,"['Kiên Giang', 'Hồ Chí Minh', 'Cần Thơ']",CÔNG TY CỔ PHẦN T.T.S.C,"Số 65, ngõ 30, Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Thành Phố Hà Nội",Phòng Nhân Sự,,Cổ phần,04/12/2024,"Cơ khí / Ô tô / Tự động hóa , Điện / Điện tử / Điện lạnh , Xây dựng",Nhân viên chính thức,20 Tr - 25 Tr VND,2 - 3 Năm,Nhân viên,27/12/2024
Facilities Technician,['Hồ Chí Minh'],PERSOLKELLY VIETNAM,"SONATUS Building, 15 Le Thanh Ton, Dist.1",HR Dept,100-499,Công ty đa quốc gia,04/12/2024,Bảo trì / Sửa chữa,Nhân viên chính thức,"9 Tr - 9,5 Tr VND",1 - 2 Năm,Nhân viên,27/11/2024
Sales Executive,['Hồ Chí Minh'],CÔNG TY TNHH ART FABRIC VIỆT NAM,"5 Đồng Nai, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Hồng Cóng Din,Ít hơn 10,Trách nhiệm hữu hạn,04/12/2024,"Tiếp thị / Marketing , Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh",Nhân viên chính thức,10 Tr - 15 Tr VND,1 - 2 Năm,Nhân viên,31/03/2025
Chuyên viên phát triển kinh doanh dự án - Business development executive,['Hồ Chí Minh'],CÔNG TY CỔ PHẦN NICON,"80-82 Cao Đức Lân, An Phú, Quận 2",Võ trí Nguyên,45,Cổ phần,10/12/2024,"Kiến trúc , Xây dựng",Nhân viên chính thức,10 Tr - 20 Tr VND,Trên 2 Năm,Nhân viên,03/12/2024
"[Binh Thanh Dist, HCM] Sales Staff (Real Estate) (12M-15M) (25009)",['Hồ Chí Minh'],CÔNG TY TNHH REERACOEN VIỆT NAM,"Cao ốc Zen Plaza, số 54-56 Nguyễn Trãi, phường Bến Thành, Quận 1",Yến,,Trách nhiệm hữu hạn,05/12/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Bất động sản",Nhân viên chính thức,12 Tr - 15 Tr VND,1 - 5 Năm,Nhân viên,28/12/2024
Nhân Viên Kỹ Thuật – Ngành Gỗ Nội Thất (Làm việc ở Củ Chi),['Hồ Chí Minh'],,,,,,10/12/2024,"Mỹ thuật / Nghệ thuật / Thiết kế , Đồ gỗ , Nội ngoại thất",Nhân viên chính thức,12 Tr - 15 Tr VND,Trên 1 Năm,Nhân viên,03/01/2025
113570 - Accounting and Tax Quality Control Specialist - Chuyên Viên Kiểm Soát Chất Lượng - Consulting,['Hồ Chí Minh'],"RGF HR AGENT VIETNAM CO., LTD","Centec Tower, 72-74 Nguyen Thi Minh Khai, Ward 6, Dist. 3, HCMC, Vietnam",HR Dept,,Trách nhiệm hữu hạn,10/12/2024,Tư vấn,Nhân viên chính thức,22 Tr - 27 Tr VND,3 - 5 Năm,Nhân viên,29/12/2024
Sales Trainer Specialist,['Hồ Chí Minh'],CÔNG TY TNHH MTV DAT BIKE,"KCN Tân Bình, TP.HCM",HR Department,100-499,,10/12/2024,Bán hàng / Kinh doanh,Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Trưởng nhóm / Giám sát,02/01/2025
NHÂN VIÊN PHÒNG QUẢN LÝ KINH DOANH,[],,,,,,,,,,,,
"[KCX Tân Thuận, HCM] Nhân Viên QA (Có Tiếng Nhật) (20Tr-30Tr) (25213)",['Hồ Chí Minh'],,,,,,09/12/2024,"Kế toán / Kiểm toán , Sản xuất / Vận hành sản xuất , Quản lý chất lượng (QA/QC)",Nhân viên chính thức,20 Tr - 30 Tr VND,2 - 5 Năm,Nhân viên,29/12/2024
Domestic Sales Staff (can speak Korean)/Nhân viên Kinh doanh Nội Địa (biết tiếng Hàn),['Hồ Chí Minh'],,,,,,06/12/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh",Nhân viên chính thức,15 Tr - 20 Tr VND,,Nhân viên,31/12/2024
Thông dịch Tiếng Nhật,['Hồ Chí Minh'],FAMILYMART VIETNAM JOINT STOCK COMPANY,"số 63 Phạm Ngọc Thạch, Phường Võ Thị Sáu, Quận 03, Tp Hồ Chí Minh",Tuyển dụng FamilyMart,100-499,Cổ phần,09/12/2024,"Hành chính / Thư ký , Biên phiên dịch , Bán lẻ / Bán sỉ",Nhân viên chính thức,Cạnh tranh,2 - 4 Năm,Trưởng nhóm / Giám sát,01/01/2025
Senior Java Developer - Hanoi/HoChiMinh - TA160,"['Hà Nội', 'Hồ Chí Minh']",NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG - VPBANK,"89 Láng Hạ, Quận Đống Đa, Hà Nội",Khối Quản trị Nguồn nhân lực,10.000-19.999,Cổ phần,09/12/2024,"CNTT - Phần cứng / Mạng , CNTT - Phần mềm , Ngân hàng",Nhân viên chính thức,Cạnh tranh,3 - 7 Năm,Nhân viên,30/12/2024
Nhân Viên Kinh Doanh Hương Liệu – Phụ Gia Thực Phẩm,['Hồ Chí Minh'],PATH COMPANY LIMITED - CÔNG TY TNHH HƯỚNG ĐI,"31 Tran Van Quang, P. 10, Q. TB",Ho Thanh Nang,,Trách nhiệm hữu hạn,06/12/2024,"Bán hàng / Kinh doanh , Thực phẩm & Đồ uống , Công nghệ thực phẩm / Dinh dưỡng",Nhân viên chính thức,10 Tr - 15 Tr VND,,Nhân viên,06/01/2025
Nhân Viên Bán Hàng,['Hồ Chí Minh'],CÔNG TY TNHH LYNH PREMIUM,"254B Nguyễn Đình Chiểu, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",HR,25-99,Trách nhiệm hữu hạn,06/12/2024,"Tiếp thị / Marketing , Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh",Nhân viên chính thức,Cạnh tranh,,Nhân viên,06/01/2025
Head of Card Product and Business Unit -Trưởng phòng sản phẩm và kinh doanh thẻ,['Hồ Chí Minh'],CÔNG TY TÀI CHÍNH TNHH NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI (SHBFINANCE),"Tòa nhà Gelex, 52 Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội",Khối Quản trị Nguồn nhân lực,5.000-9.999,Trách nhiệm hữu hạn,06/12/2024,"Ngân hàng , Tài chính / Đầu tư , Bán lẻ / Bán sỉ",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Quản lý,31/01/2025
Nhân viên kinh doanh,"['Hồ Chí Minh', 'Long An']",CÔNG TY CỔ PHẦN BOURBON BẾN LỨC,"Lầu 11, P.1107, 29 Lê Duẩn, Q.1",Ms. Điệp,100-499,Cổ phần,06/12/2024,"Vận chuyển / Giao nhận / Kho vận , Hàng hải , Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Nhân viên,28/02/2025
Full Time/Part Time Content Writer (Bilingual),['Hồ Chí Minh'],,,,,,06/12/2024,Tiếp thị trực tuyến,"Nhân viên chính thức, Bán thời gian",10 Tr - 20 Tr VND,Lên đến 3 Năm,Nhân viên,31/01/2025
Account Manager (Event Agency),['Hồ Chí Minh'],CÔNG TY TNHH PER-FECTIV VIỆT NAM,"Lầu 6, 85 Nguyễn Hữu Cầu, Phường Tân Định, Quận 1",Ms. Bùi Dương Minh Châu,25-99,Nhà nước,06/12/2024,"Tiếp thị / Marketing , Quảng cáo / Đối ngoại / Truyền Thông , Tổ chức sự kiện",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Quản lý,31/01/2025
Payment Gateway Relationship Manager,['Hồ Chí Minh'],,,,,,04/12/2024,"Tiếp thị / Marketing , Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh",Nhân viên chính thức,15 Tr - 25 Tr VND,1 - 3 Năm,Nhân viên,31/01/2025
,[],,,,,,,,,,,,
113796 - [HCM] Project Sales Engineer - Electrical Equipment,['Hồ Chí Minh'],"RGF HR AGENT VIETNAM CO., LTD","Centec Tower, 72-74 Nguyen Thi Minh Khai, Ward 6, Dist. 3, HCMC, Vietnam",HR Dept,,Trách nhiệm hữu hạn,04/12/2024,"Sản xuất / Vận hành sản xuất , Điện / Điện tử / Điện lạnh",Nhân viên chính thức,23 Tr - 35 Tr VND,2 - 5 Năm,Nhân viên,29/12/2024
Sales Representative,['Hồ Chí Minh'],CÔNG TY TNHH INTER METALS,"103/9 Ao Đôi, Bình Trị Đông A, quận Bình Tân, Thành phố Hồ Chí Minh",Thảo Huỳnh,25-99,Trách nhiệm hữu hạn,04/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng",Nhân viên chính thức,Cạnh tranh,,Nhân viên,04/01/2025
113807 - HR & GA Assistant - Trading,['Hồ Chí Minh'],"RGF HR AGENT VIETNAM CO., LTD","Centec Tower, 72-74 Nguyen Thi Minh Khai, Ward 6, Dist. 3, HCMC, Vietnam",HR Dept,,Trách nhiệm hữu hạn,04/12/2024,"Sản xuất / Vận hành sản xuất , Điện / Điện tử / Điện lạnh",Nhân viên chính thức,Cạnh tranh,4 - 6 Năm,Nhân viên,29/12/2024
Buyer /Nhân viên Mua hàng Tiếng Trung,"['Long An', 'Hồ Chí Minh']",CÔNG TY TNHH EMI ASIA VIỆT NAM,"Lô D10-1, Đường Dọc 2, KCN Phú An Thạnh, Xã An Thạnh, Huyện Bến Lức, Tỉnh Long An, Việt Nam",HCNS,100-499,100% vốn nước ngoài,07/12/2024,"Biên phiên dịch , Điện / Điện tử / Điện lạnh , Thu mua / Vật tư",Nhân viên chính thức,12 Tr - 15 Tr VND,2 - 5 Năm,Nhân viên,06/01/2025
Chuyên viên Thẩm định Khách hàng Cá nhân,"['Hồ Chí Minh', 'Bình Phước']",NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,5.000-9.999,Cổ phần,09/12/2024,Ngân hàng,Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Nhân viên,07/01/2025
Chuyên viên Quan hệ Khách hàng Doanh nghiệp,"['Lâm Đồng', 'Hồ Chí Minh']",NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI ( SHB ),77 Trần Hưng Đạo - Hoàn Kiếm - Hà Nội,Trung tâm Dịch vụ Nhân sự,5.000-9.999,Cổ phần,09/12/2024,"Bán hàng / Kinh doanh , Ngân hàng",Nhân viên chính thức,Cạnh tranh,,Nhân viên,07/01/2025
Kiểm Toán Nội Bộ,['Hồ Chí Minh'],SHYNH GROUP,"79 Nguyễn Trãi, phường Bến Thành, Quận 1, HCM",Phòng nhân sự,500-999,Cá nhân,09/12/2024,"Y tế / Chăm sóc sức khỏe , Dịch vụ khách hàng , Kế toán / Kiểm toán",Nhân viên chính thức,Cạnh tranh,3 - 4 Năm,Nhân viên,11/01/2025
Nhân Viên Kinh Doanh Dược Mỹ Phẩm,['Hồ Chí Minh'],VPĐD PANION & BF BIOTECH INC. TẠI TP.HCM,"198A-200 Trần Bình Trọng, P4, Q5, TP.HCM",Ms. Dương,10-20,100% vốn nước ngoài,09/12/2024,"Bán hàng / Kinh doanh , Dược phẩm , Y tế / Chăm sóc sức khỏe",Nhân viên chính thức,8 Tr - 20 Tr VND,Trên 3 Năm,Nhân viên,09/01/2025
Kế toán trưởng,['Hồ Chí Minh'],,,,,,09/12/2024,Giải trí,Nhân viên chính thức,Trên 20 Tr VND,3 - 5 Năm,Trưởng nhóm / Giám sát,10/01/2025
Nhân Viên Kinh Doanh/Đại Diện Bán Hàng,['Hồ Chí Minh'],CÔNG TY CP TẬP ĐOÀN VAS NGHI SƠN,"Tầng 9, Tòa nhà HMC , 193 Đinh Tiên Hoàng, Đa Kao, Quận 1, Thành phố Hồ Chí Minh.",HR Dept,500-999,Cổ phần,09/12/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Xây dựng",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Nhân viên,09/01/2025
Nhân Viên Mua Sắm Vật Tư Kỹ Thuật,['Hồ Chí Minh'],CHI NHÁNH CÔNG TY TNHH MTV BCA-THĂNG LONG TẠI TP.HCM,"84 Lê Lai, P. Bến Thành, Q.1, TP.HCM",Ms. Yến,100-499,Nhà nước,09/12/2024,"Cơ khí / Ô tô / Tự động hóa , Điện / Điện tử / Điện lạnh , Thu mua / Vật tư",Nhân viên chính thức,Cạnh tranh,4 - 6 Năm,Nhân viên,09/01/2025
Quality Assurance,['Hồ Chí Minh'],THUAN PHUONG GROUP,"269-275 NGUYỄN VĂN LUÔNG, P.12, Q.6",P. Nhân Sự,,Trách nhiệm hữu hạn,09/12/2024,"Dệt may / Da giày / Thời trang , Quản lý chất lượng (QA/QC)",Nhân viên chính thức,15 Tr - 25 Tr VND,Trên 3 Năm,Nhân viên,31/12/2024
PHÓ VIỆN TRƯỞNG MẢNG HỢP TÁC QUỐC TẾ,['Hồ Chí Minh'],TRƯỜNG ĐẠI HỌC KINH TẾ - TÀI CHÍNH TP.HCM,"141-145 Điện Biên Phủ, phường 15, quận Bình Thạnh, TP.HCM",UEF,500-999,Cá nhân,09/12/2024,"Giáo dục / Đào tạo , Quản lý điều hành , Ngành khác",Nhân viên chính thức,Cạnh tranh,5 - 10 Năm,Phó Giám đốc,28/02/2025
Business Control Associate,['Hồ Chí Minh'],SAN MIGUEL BREWERY VIETNAM,"180 Nguyễn Văn Trỗi, Phường 08, quận Phú Nhuận",Phòng Nhân Sự,,100% vốn nước ngoài,09/12/2024,"Bán hàng / Kinh doanh , Thực phẩm & Đồ uống , Kế toán / Kiểm toán",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Trưởng nhóm / Giám sát,08/01/2025
NHÂN VIÊN KẾ TOÁN THANH TOÁN,[],,,,,,,,,,,,
111033 - Senior Accountant - Kế toán Cấp cao - Manufacturing,['Hồ Chí Minh'],"RGF HR AGENT VIETNAM CO., LTD","Centec Tower, 72-74 Nguyen Thi Minh Khai, Ward 6, Dist. 3, HCMC, Vietnam",HR Dept,,Trách nhiệm hữu hạn,18/11/2024,"Sản xuất / Vận hành sản xuất , Cơ khí / Ô tô / Tự động hóa",Nhân viên chính thức,13 Tr - 23 Tr VND,Trên 3 Năm,Nhân viên,17/12/2024
GIÁM ĐỐC CHUYÊN MÔN UNG BƯỚU,['Hồ Chí Minh'],HỆ THỐNG PHÒNG KHÁM 315,"207B Hoàng Văn Thụ, Phường 8, Quận Phú Nhuận, TP. HCM",Bộ phận tuyển dụng,25-99,Cổ phần,07/11/2024,"Y tế / Chăm sóc sức khỏe , Quản lý điều hành",Nhân viên chính thức,Trên 50 Tr VND,Trên 10 Năm,Quản lý,06/12/2024
[Gấp] Kỹ Sư Thiết Kế Kết Cấu (SL:15 Người- Ưu Tiên Sinh Viên Mới Ra Trường),['Hồ Chí Minh'],MITEK VIỆT NAM,"Tòa nhà A5, Lô số A5, khu E Office, Đường Sáng Tạo, KCX Tân Thuận, P. Tân Thuận Đông, Q.7, Tp. HCM",HR Dept,1.000-4.999,Trách nhiệm hữu hạn,09/12/2024,"Cơ khí / Ô tô / Tự động hóa , Kiến trúc , Xây dựng",Nhân viên chính thức,Cạnh tranh,,Mới tốt nghiệp,09/01/2025
Systems Compliance Administrator (SCCM/Intune),['Hồ Chí Minh'],MITEK VIỆT NAM,"Tòa nhà A5, Lô số A5, khu E Office, Đường Sáng Tạo, KCX Tân Thuận, P. Tân Thuận Đông, Q.7, Tp. HCM",HR Dept,1.000-4.999,Trách nhiệm hữu hạn,18/11/2024,CNTT - Phần cứng / Mạng,Nhân viên chính thức,Cạnh tranh,2 - 5 Năm,Nhân viên,17/12/2024
Consultant - Assistant (Tiếng Nhật N1),['Hồ Chí Minh'],CÔNG TY TNHH QUICK VIỆT NAM,"Unit C1,4F IBC Building, 1A Cong Truong Me Linh street, Ben Nghe Ward, District 1",Ngọc Quỳnh,Ít hơn 10,,17/11/2024,"Tư vấn , Hành chính / Thư ký , Biên phiên dịch",Nhân viên chính thức,25 Tr - 35 Tr VND,5 - 10 Năm,Nhân viên,16/12/2024
Nhân Viên M&E (Mảng Nước),['Hồ Chí Minh'],CÔNG TY TNHH CÔNG NGHỆ MÔI TRƯỜNG NÔNG LÂM,"Lô O51, Khu Nhà Vạn Phúc 1, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",HR,25-99,Trách nhiệm hữu hạn,11/11/2024,"Môi trường , Xây dựng , Mỹ thuật / Nghệ thuật / Thiết kế",Nhân viên chính thức,Cạnh tranh,Trên 1 Năm,Nhân viên,10/12/2024
Nhân viên Chế bản,['Hồ Chí Minh'],CÔNG TY TNHH ASIA PACIFIC ENGRAVERS (VIỆT NAM),"Lô 16 & Lô 26A, Đường số 7, KCN Tân Tạo, P. Tân Tạo A, Quận Bình Tân",Phòng Hành Chánh Quản Trị,300,Liên doanh,09/11/2024,"In ấn / Xuất bản , Quảng cáo / Đối ngoại / Truyền Thông , Mỹ thuật / Nghệ thuật / Thiết kế",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,08/12/2024
Nhân viên Thiết kế - Giải pháp,['Hồ Chí Minh'],CÔNG TY CỔ PHẦN THIẾT BỊ VIỄN THÔNG SAO PHƯƠNG NAM,412 Nguyễn Thị Minh Khai - Phường 05 - Quận 3,Ms.Thao Phan,30-45,Cổ phần,28/11/2024,"Bưu chính viễn thông , Xây dựng , Mỹ thuật / Nghệ thuật / Thiết kế",Nhân viên chính thức,Cạnh tranh,Lên đến 2 Năm,Nhân viên,27/12/2024
Nhân Viên Thi Công Cơ Điện Lạnh,['Hồ Chí Minh'],CÔNG TY TNHH KỸ THUẬT VÀ THƯƠNG MẠI TAMADA,"189D/8 Nguyễn Văn Hưởng, P. Thảo Điền, TP. Thủ Đức, TP. HCM",Ms. Khanh,25-99,Trách nhiệm hữu hạn,29/11/2024,"Cơ khí / Ô tô / Tự động hóa , Điện / Điện tử / Điện lạnh",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Nhân viên,28/12/2024
112458 - Sales Engineer - Kỹ sư Kinh doanh - Robotics,['Hồ Chí Minh'],"RGF HR AGENT VIETNAM CO., LTD","Centec Tower, 72-74 Nguyen Thi Minh Khai, Ward 6, Dist. 3, HCMC, Vietnam",HR Dept,,Trách nhiệm hữu hạn,24/11/2024,Cơ khí / Ô tô / Tự động hóa,Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Nhân viên,23/12/2024
TRƯỞNG PHÒNG KINH DOANH BẤT ĐỘNG SẢN - STAREAL,['Hồ Chí Minh'],CÔNG TY CỔ PHẦN ĐẦU TƯ TẬP ĐOÀN KLC,"105 - 107 đường Nguyễn Công Trứ, phường Nguyễn Thái Bình, quận 1, Tp Hồ Chí Minh",Phòng Nhân Sự,,Cổ phần,26/11/2024,"Bán hàng / Kinh doanh , Bất động sản , Tiếp thị / Marketing",Nhân viên chính thức,10 Tr - 12 Tr VND,2 - 3 Năm,Trưởng nhóm / Giám sát,25/11/2024
